product_name,price,rating,Number_of_Reviews,Product_url
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"₹1,199",4.0 out of 5 stars,"54,975",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹550,4.3 out of 5 stars,"11,827",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF
Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,"5,172",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"3,218",https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹649,3.9 out of 5 stars,"16,569",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),₹987,4.4 out of 5 stars,"5,915",https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH
Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,₹248,4.0 out of 5 stars,"19,994",https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,₹749,4.1 out of 5 stars,"1,551",https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,199",4.3 out of 5 stars,549,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",₹689,3.8 out of 5 stars,"2,304",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹549,3.9 out of 5 stars,"1,015",https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,₹499,4.0 out of 5 stars,474,https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",₹550,4.3 out of 5 stars,"11,827",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV
Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),"₹1,125",4.4 out of 5 stars,"5,904",https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹839,4.3 out of 5 stars,"3,689",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF
