manufacture,ASIN,description
American Tourister,B07CJCGM1M,Fizz Large Size 32 Ltrs Casual Backpack (BLACK) 
Wesley Milestone,B084JGJ8PF,2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) 
Skybags Brat,B08Z1HHHTD,Black 46 Cms Casual Backpack 
Half Moon,B09VCLZ3K4,Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover 
Half Moon,B085MHDJ93,"35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips "
Gear Classic,B07G4F6XFH,20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown) 
Safari Compact,B07Q7CNPMV,Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue 
Wesley Spartan,B098QFF5TJ,Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag 
American Tourister,B0BTD4S4XF,"VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER "
TRUE HUMAN,B09QJ7ZF2Y,"Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black) "
ADISA 15.6,B09TPX22NF,inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue) 
NORTH ZONE,B0BS6QQZYN,Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L 
Wesley Milestone,B085S444JV,"2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black "
Gear Cello,B075MK4TXP,30 Ltrs Black Laptop Backpack (LBPASPIRE0104) 
"Lenovo 15.6""",B08R7RPVJF,"(39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps "
